Date,Price,Pid,Property_name,Area,Address,Neighboorhood
1/22/2021,450000000,G2739,5 bedroom Duplex for sale Off Glover 2nd Avenue Extension Ikoyi Lagos,Ikoyi Extension,Cameron Green Off Glover 2nd Avenue Extension Ikoyi Lagos,Ikoyi
1/22/2021,135000000,G2731,5 bedroom Duplex for sale Magodo GRA Magodo Isheri Ojodu Lagos,Ojo Isheri,MAGODO GRA Magodo GRA Magodo Isheri Ojodu Lagos,Ojo
1/22/2021,32000000,G2722,3 bedroom Flat / Apartment for sale LASDPC ESTATE Town planning way Ilupeju Lagos,Ilupeju way,OFF TOWN PLANNING WAY LASDPC ESTATE Town Planning Way Ilupeju Lagos,Ilupeju
1/22/2021,250000000,G2721,Land for sale Aladura Estate Anthony Village Maryland Lagos,Maryland Village,Behind New Castle Hotel Aladura Estate Anthony Village Maryland Lagos,Maryland
1/22/2021,25000000,"600,x700,G2719",600.0 square meter Land for sale Soluyi Gbagada Lagos,Gbagada Soluyi,Peace Estate Soluyi Gbagada Lagos,Gbagada
1/22/2021,1350000,G2711,600.0 square meter Land for sale Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,By the new international airport Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,7500000000,F7204,10000.0 square meter Land for sale Osborne road Osborne Foreshore Estate Ikoyi Lagos,Ikoyi Estate,Osborne Osborne road Osborne Foreshore Estate Ikoyi Lagos,Ikoyi
1/22/2021,4000000,F7280,1500.0 square meter Land for sale lekki free trade zone Lekki Phase 2 Lekki Lagos,Lekki Phase,Free trade free lekki free trade zone Lekki Phase 2 Lekki Lagos,Lekki
1/22/2021,3500000,F7281,40.0 square meter Land for sale orimedu ibeju lekki okegoun Lekki Phase 2 Lekki Lagos,Lekki Phase,Orimedu ibeju lekki orimedu ibeju lekki okegoun Lekki Phase 2 Lekki Lagos,Lekki
1/22/2021,20000000,G2700,Bungalow for sale Kilo-Marsha Surulere Lagos,Surulere Marsha,MOLUSI STREET Kilo Marsha Surulere Lagos,Surulere
1/22/2021,4000000,F7301,1.0 square meter Land for sale ikorodu Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,ikorodu ikorodu Ikorodu Ikorodu Lagos,Ikorodu
1/22/2021,130000000,F7300,4 bedroom Duplex for sale shoperite area Anthony Village Maryland Lagos,Maryland Village,shoperite shoperite area Anthony Village Maryland Lagos,Maryland
1/22/2021,50000000000,F8455,36570.0 square meter Land for sale Facing Atlantic ocean Bourdillon Ikoyi Lagos,Ikoyi Bourdillon,Facing Atlantic ocean Facing Atlantic ocean Bourdillon Ikoyi Lagos,Ikoyi
1/22/2021,1200000000,F9009,5.0 square meter Land for sale ikosi Secretariat road Ikosi-Ketu Kosofe/Ikosi Lagos,Ikosi Kosofe,Secretariat road ikosi Secretariat road Ikosi Ketu Kosofe Ikosi Lagos,Ikosi
1/22/2021,650000000,F9016,5.0 square meter Land for sale Anthony area Anthony Village Maryland Lagos,Maryland Village,Anthony area Anthony area Anthony Village Maryland Lagos,Maryland
1/22/2021,3500000000,F9014,4.0 square meter Land for sale CMD road ikosi Ikosi-Ketu Kosofe/Ikosi Lagos,Ikosi Kosofe,CMD road ikosi CMD road ikosi Ikosi Ketu Kosofe Ikosi Lagos,Ikosi
1/22/2021,750000000,F9017,4.0 square meter Land for sale Anthony area Anthony Village Maryland Lagos,Maryland Village,Anthony area Anthony area Anthony Village Maryland Lagos,Maryland
1/22/2021,35000000,G2382,10 bedroom Land for sale Igbogbo Ikorodu Lagos,Ikorodu Igbogbo,Bayeku road Igbogbo Ikorodu Lagos,Ikorodu
1/22/2021,7000000,G2686,600.0 square meter Land for sale Lekki Lekki Lagos,Lekki Lekki,"Monastry Road, Lekki-Epe Express Road. Lekki Lekki Lagos",Lekki
1/22/2021,60000000,G2684,4 bedroom Duplex for sale Chevyview Estate chevron Lekki Lagos,Lekki chevron,Chevron Drive Chevyview Estate Chevron Lekki Lagos,Lekki
1/22/2021,160000000,G2683,4 bedroom House for sale Osborne Foreshore Estate Ikoyi Lagos,Ikoyi Estate,Royal palm drive Osborne Foreshore Estate Ikoyi Lagos,Ikoyi
1/22/2021,16000,G2682,600.0 square meter Land for sale Ogombo Abraham adesanya estate Ajah Lagos,Ajah estate,Orangeville Estate Ogombo Abraham Adesanya Estate Ajah Lagos,Ajah
1/22/2021,5000000,G2673,600.0 square meter Land for sale Lekki Free Trade Zone Ibeju-Lekki Lagos,Lekki Ibeju,Free Trade Zone Lekki Free Trade Zone Ibeju-Lekki Lagos,Lekki
1/22/2021,6000000,G2669,600.0 square meter Land for sale Sangotedo Abijo Ajah Lagos,Sangotedo Abijo,Abijo GRA Sangotedo Abijo Ajah Lagos,Sangotedo
